customer_id,age,gender,tenure,monthly_charges,total_charges,contract_type,payment_method,paperless_billing,internet_service,online_security,online_backup,tech_support,streaming_tv,streaming_movies,dependents,partner,phone_service,multiple_lines,monthly_usage_gb,customer_service_calls,satisfaction_score,churn
13,28,Male,45,20.26,3577.48,Month-to-month,Electronic check,No,No,No internet service,No,No internet service,Yes,No,No,No,Yes,Yes,437,2,1,No
14,28,Male,3,69.57,4093.06,One year,Electronic check,Yes,DSL,No,Yes,Yes,No internet service,No,No,No,Yes,No,328,3,2,No
15,41,Male,37,48.44,948.99,Month-to-month,Mailed check,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No,Yes,Yes,Yes,No,318,3,5,No
16,70,Male,43,83.54,1886.16,Two year,Electronic check,Yes,DSL,Yes,Yes,Yes,No internet service,Yes,No,Yes,Yes,No phone service,258,9,5,No
17,53,Male,40,27.44,4514.6,Month-to-month,Electronic check,Yes,Fiber optic,No internet service,No internet service,No,No internet service,No,Yes,Yes,Yes,No,464,7,3,No
18,57,Female,55,67.06,4043.13,One year,Mailed check,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,65,9,2,No
19,41,Male,39,58.48,4925.05,One year,Electronic check,No,Fiber optic,Yes,Yes,No internet service,Yes,No internet service,Yes,No,No,Yes,346,9,4,No
20,20,Female,15,71.39,3783.53,One year,Electronic check,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,269,5,3,No
21,39,Female,4,25.19,1996.32,Month-to-month,Bank transfer,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,306,2,2,No
22,70,Male,25,66.4,2973.66,Two year,Credit card,No,DSL,Yes,Yes,No,No internet service,No internet service,No,No,No,Yes,416,8,3,No
23,19,Male,13,64.92,3322.02,Month-to-month,Mailed check,No,DSL,No,No internet service,No,Yes,Yes,No,No,No,Yes,317,9,1,No
24,41,Male,33,64.85,438.36,One year,Bank transfer,No,DSL,No,Yes,No,No,No,No,Yes,No,No,278,7,2,No
25,61,Male,16,68.28,2745.26,Month-to-month,Credit card,No,No,No,Yes,No internet service,No internet service,No,No,No,No,Yes,168,8,4,No
26,47,Female,42,74.12,3561.14,Month-to-month,Credit card,No,DSL,Yes,No,Yes,No,No internet service,Yes,No,Yes,Yes,489,4,4,No
27,55,Male,66,84.4,878.24,One year,Credit card,No,Fiber optic,No internet service,Yes,No,No,Yes,Yes,Yes,No,Yes,227,2,2,No
28,19,Male,55,41.59,3914.13,Month-to-month,Bank transfer,Yes,Fiber optic,No,No internet service,No,Yes,Yes,Yes,Yes,No,Yes,69,3,3,No
29,77,Male,42,86.0,2939.68,Month-to-month,Bank transfer,No,DSL,No internet service,Yes,No,No internet service,Yes,No,Yes,No,No,499,4,5,No
30,38,Male,34,59.86,4763.5,Month-to-month,Credit card,No,DSL,No internet service,No internet service,Yes,No,No internet service,No,Yes,No,No phone service,85,8,2,No
31,50,Male,30,26.16,259.99,Month-to-month,Electronic check,No,DSL,Yes,No,No,No internet service,No,Yes,Yes,Yes,No phone service,384,8,4,No
32,29,Male,13,24.68,1363.36,One year,Electronic check,Yes,Fiber optic,Yes,Yes,No,Yes,No internet service,Yes,Yes,No,No phone service,471,2,1,No
33,75,Female,13,46.74,3027.69,Two year,Bank transfer,No,DSL,Yes,No,No internet service,No internet service,No,Yes,No,No,No phone service,455,6,4,No
34,39,Female,18,82.79,1517.97,Month-to-month,Bank transfer,No,DSL,No,Yes,Yes,No,No internet service,Yes,No,No,Yes,157,5,5,No
35,78,Male,32,76.61,3586.4,Month-to-month,Bank transfer,No,No,Yes,No internet service,No internet service,No,No,No,No,No,No phone service,238,3,4,No
36,61,Male,39,83.09,3807.08,Month-to-month,Credit card,Yes,No,No,No,Yes,No internet service,Yes,Yes,No,Yes,No phone service,227,4,5,No
37,42,Male,46,61.38,557.45,Month-to-month,Electronic check,No,DSL,No,Yes,Yes,No,Yes,No,Yes,No,No,145,9,2,No
38,66,Female,29,55.22,2593.58,One year,Bank transfer,Yes,DSL,No,No internet service,Yes,No,Yes,Yes,No,No,No,364,1,4,No
39,44,Male,62,31.8,2569.01,One year,Bank transfer,No,DSL,No,No,No internet service,No,No internet service,No,Yes,No,No,69,6,3,No
40,76,Female,62,46.26,1877.94,Month-to-month,Mailed check,Yes,Fiber optic,Yes,Yes,No internet service,Yes,No internet service,No,Yes,Yes,Yes,213,3,3,No
41,59,Male,57,54.72,4667.98,Month-to-month,Credit card,Yes,No,No,No,No internet service,Yes,No internet service,No,No,No,Yes,431,1,4,No
42,45,Male,16,27.09,4146.16,Month-to-month,Mailed check,Yes,DSL,Yes,Yes,No internet service,No,Yes,No,No,No,Yes,146,5,4,No
43,77,Male,56,37.65,3501.19,Two year,Electronic check,No,DSL,Yes,No internet service,No,No internet service,No,Yes,Yes,Yes,No,192,1,1,No
44,33,Male,10,67.86,3585.92,Two year,Mailed check,Yes,Fiber optic,No,No internet service,No,Yes,Yes,Yes,Yes,No,No phone service,111,9,4,No
45,32,Female,30,78.85,2335.49,Month-to-month,Mailed check,Yes,Fiber optic,Yes,No,No,No internet service,Yes,Yes,Yes,Yes,No,291,1,1,No
46,79,Female,25,99.87,4608.92,Month-to-month,Mailed check,Yes,DSL,No internet service,No,Yes,No,No,No,Yes,Yes,Yes,287,6,1,No
47,79,Male,5,94.65,3488.25,Two year,Credit card,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,No,No,No,180,0,1,No
48,64,Male,65,71.41,3658.46,Two year,Electronic check,No,DSL,Yes,No internet service,Yes,No internet service,No,Yes,Yes,No,No phone service,142,6,1,No
49,79,Female,49,53.7,4315.37,Month-to-month,Mailed check,No,DSL,No,Yes,No internet service,Yes,No,Yes,No,Yes,Yes,140,9,2,No
50,68,Female,3,70.89,1406.65,Month-to-month,Credit card,No,Fiber optic,No,No internet service,Yes,No internet service,Yes,No,Yes,Yes,No phone service,182,4,3,Yes
51,61,Female,45,82.85,4045.0,Month-to-month,Electronic check,No,No,Yes,No,Yes,No internet service,No internet service,No,Yes,No,No phone service,172,0,1,No
52,72,Female,14,29.47,1016.44,One year,Bank transfer,Yes,Fiber optic,No,Yes,No,No,Yes,No,Yes,Yes,Yes,489,5,3,No
53,69,Male,30,52.79,1759.44,Month-to-month,Mailed check,No,No,No internet service,Yes,No internet service,Yes,No,Yes,No,Yes,No phone service,464,6,1,No
54,74,Female,68,87.18,1711.27,Month-to-month,Electronic check,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,No,No,391,0,3,No
55,20,Male,18,50.71,4893.7,One year,Mailed check,No,Fiber optic,No,No internet service,No,Yes,No internet service,Yes,No,Yes,No phone service,468,8,4,No
56,54,Female,62,65.75,4289.86,Month-to-month,Bank transfer,No,Fiber optic,Yes,No internet service,No internet service,No,Yes,No,No,Yes,No phone service,167,6,4,No
57,68,Female,37,67.02,3520.79,One year,Electronic check,No,No,No internet service,No,No internet service,Yes,Yes,Yes,No,Yes,No phone service,247,0,3,No
58,24,Female,25,34.76,3648.93,Month-to-month,Credit card,Yes,No,No internet service,Yes,No internet service,No,Yes,No,Yes,Yes,No,331,2,1,No
59,38,Female,48,48.98,2832.26,Month-to-month,Electronic check,No,DSL,Yes,No internet service,No,Yes,No internet service,No,No,Yes,No phone service,423,4,2,No
60,26,Female,65,46.76,4738.1,One year,Credit card,No,No,No,No,No internet service,No internet service,No internet service,No,No,Yes,No phone service,50,3,3,No
61,56,Male,53,22.1,2506.48,Month-to-month,Electronic check,No,No,No internet service,No internet service,Yes,No,No internet service,No,Yes,No,No,260,1,5,No
62,35,Male,15,21.94,1933.56,Two year,Credit card,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No,Yes,Yes,Yes,Yes,312,0,2,No
63,21,Female,49,86.54,857.02,One year,Bank transfer,No,DSL,Yes,No internet service,No internet service,No,No,Yes,No,No,Yes,469,3,5,Yes
64,42,Female,68,41.85,3941.72,Month-to-month,Bank transfer,No,No,No internet service,Yes,No,Yes,Yes,No,No,No,Yes,381,6,3,No
65,77,Male,12,61.45,3685.5,One year,Bank transfer,Yes,No,No,No,No,Yes,No internet service,Yes,Yes,No,No phone service,261,3,1,No
66,31,Female,59,43.9,1952.56,Month-to-month,Electronic check,Yes,DSL,No internet service,No,No,No,Yes,No,No,No,Yes,136,8,5,No
67,67,Female,37,95.25,174.71,Two year,Bank transfer,No,No,Yes,No internet service,No internet service,No,No internet service,Yes,No,No,No,202,7,3,No
68,75,Male,61,40.74,4203.04,Month-to-month,Mailed check,No,DSL,No internet service,Yes,No internet service,No,Yes,Yes,No,No,No phone service,399,7,2,No
69,26,Female,43,54.37,106.52,One year,Bank transfer,No,DSL,No,Yes,Yes,Yes,No,No,Yes,No,No phone service,236,4,1,Yes
70,43,Female,70,89.82,3533.31,Month-to-month,Credit card,Yes,Fiber optic,Yes,Yes,No,No,No internet service,No,No,No,No phone service,110,0,5,No
71,70,Male,39,87.35,4852.77,Month-to-month,Credit card,Yes,Fiber optic,No,No internet service,Yes,No,No,No,Yes,Yes,Yes,334,8,3,No
72,19,Male,56,34.89,2216.42,Two year,Credit card,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,No,Yes,No,Yes,144,1,1,No
73,37,Male,63,84.21,1213.12,Two year,Electronic check,No,DSL,No internet service,Yes,No,No,Yes,Yes,Yes,No,Yes,323,5,1,No
74,45,Female,46,56.65,3539.11,Month-to-month,Mailed check,Yes,No,No,Yes,No internet service,No internet service,No internet service,No,No,No,No phone service,90,9,4,No
75,64,Male,11,58.64,4094.78,Month-to-month,Bank transfer,No,DSL,No internet service,Yes,No internet service,No internet service,No,Yes,Yes,Yes,No,196,4,1,No
76,77,Male,62,30.68,2754.83,Two year,Mailed check,Yes,DSL,No,No internet service,Yes,No internet service,No internet service,No,No,No,No phone service,295,9,3,No
77,24,Male,25,26.45,4836.82,Two year,Mailed check,Yes,DSL,No internet service,No internet service,Yes,Yes,Yes,Yes,Yes,Yes,No,181,7,2,No
78,61,Male,71,78.24,305.76,Month-to-month,Credit card,Yes,Fiber optic,No,Yes,Yes,No internet service,No internet service,No,No,No,No phone service,498,2,4,No
79,78,Male,52,59.72,2548.74,Month-to-month,Credit card,No,No,No,Yes,Yes,No,No,Yes,No,No,No,346,5,3,No
80,25,Male,4,54.95,3606.35,Month-to-month,Credit card,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,No,Yes,No phone service,172,5,3,No
81,64,Female,59,78.36,4320.07,Two year,Electronic check,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No phone service,192,9,3,No
82,52,Female,20,81.24,937.32,Month-to-month,Mailed check,No,DSL,No,Yes,Yes,Yes,No internet service,No,No,Yes,No,231,2,5,No
83,31,Male,63,32.71,4010.02,Month-to-month,Mailed check,Yes,Fiber optic,No internet service,Yes,No internet service,Yes,No,No,No,Yes,No,241,6,5,No
84,34,Male,54,68.82,2785.9,One year,Electronic check,No,Fiber optic,No internet service,No,No internet service,Yes,No internet service,No,Yes,No,No,448,3,2,No
85,53,Male,57,30.83,2012.94,Month-to-month,Electronic check,Yes,Fiber optic,No internet service,No,No internet service,Yes,Yes,No,Yes,No,No,256,4,3,No
86,67,Female,41,80.11,701.99,Month-to-month,Electronic check,No,DSL,No,Yes,No,Yes,No,Yes,No,Yes,No,483,8,5,No
87,57,Female,3,72.56,4333.21,Month-to-month,Mailed check,No,Fiber optic,No,No internet service,No,No internet service,No,Yes,Yes,Yes,No,280,5,5,Yes
88,21,Female,6,96.53,828.5,Month-to-month,Mailed check,Yes,Fiber optic,No,No internet service,No internet service,No,No internet service,Yes,Yes,No,No,71,9,5,Yes
89,19,Female,5,25.52,1583.45,Month-to-month,Credit card,Yes,Fiber optic,No,Yes,No internet service,No,No,No,Yes,No,No,451,3,2,Yes
90,79,Female,5,24.56,1485.73,One year,Credit card,No,Fiber optic,Yes,Yes,Yes,No internet service,No,Yes,No,No,No phone service,129,7,2,No
91,23,Female,54,42.57,4363.5,Month-to-month,Mailed check,No,DSL,No,No,Yes,No internet service,Yes,Yes,Yes,Yes,No,179,8,3,No
92,71,Female,47,40.94,3379.88,One year,Credit card,Yes,Fiber optic,No internet service,No,No,Yes,No internet service,No,No,No,No,341,9,4,No
93,59,Female,49,39.76,3993.57,Two year,Electronic check,Yes,DSL,Yes,No internet service,No,Yes,No internet service,No,Yes,Yes,No phone service,325,4,3,No
94,21,Female,9,92.5,1289.82,One year,Bank transfer,Yes,No,No internet service,Yes,Yes,No internet service,Yes,Yes,Yes,No,No phone service,449,1,5,No
95,71,Male,20,39.96,3143.13,Month-to-month,Credit card,Yes,Fiber optic,No,No,No internet service,Yes,Yes,No,No,Yes,Yes,372,5,5,No
96,46,Male,61,41.76,2880.14,Month-to-month,Mailed check,Yes,DSL,Yes,No internet service,Yes,No,No internet service,No,Yes,Yes,Yes,425,7,1,No
97,35,Male,35,80.75,4172.51,Month-to-month,Credit card,No,No,No,No internet service,No,No,Yes,No,Yes,No,No,463,4,3,Yes
98,43,Male,50,55.98,4535.13,Month-to-month,Credit card,No,Fiber optic,Yes,No internet service,No,Yes,Yes,No,Yes,Yes,No,104,0,5,No
99,61,Female,62,82.14,110.18,Month-to-month,Credit card,No,DSL,No internet service,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,115,7,5,Yes
100,51,Female,17,25.23,3386.4,One year,Bank transfer,No,Fiber optic,No,No,Yes,Yes,No internet service,Yes,No,Yes,Yes,276,8,4,No
101,27,Male,3,59.01,306.59,Month-to-month,Electronic check,Yes,DSL,No,Yes,Yes,No,Yes,Yes,No,Yes,No,75,0,1,No
102,79,Female,32,22.69,2766.85,Month-to-month,Mailed check,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,490,7,3,No
103,53,Male,13,25.01,1473.78,Month-to-month,Bank transfer,Yes,No,Yes,No internet service,No internet service,No internet service,No,Yes,No,No,No,302,9,2,No
104,31,Female,68,92.51,1568.54,One year,Mailed check,No,No,No,No internet service,Yes,Yes,No internet service,No,No,No,No phone service,246,1,3,No
105,48,Male,14,31.14,1797.14,Month-to-month,Mailed check,Yes,Fiber optic,Yes,No,No,No internet service,Yes,Yes,No,Yes,No phone service,179,3,3,No
106,65,Female,11,62.59,3125.4,One year,Mailed check,Yes,Fiber optic,No,No,No,Yes,No,Yes,No,No,Yes,292,1,4,No
107,32,Female,56,52.89,1703.55,Month-to-month,Bank transfer,No,Fiber optic,Yes,Yes,No,Yes,No internet service,No,Yes,Yes,No phone service,361,1,3,No
108,25,Male,67,47.79,3676.86,Two year,Electronic check,No,DSL,No internet service,Yes,Yes,No,No,No,No,Yes,No phone service,261,9,4,No
109,31,Female,29,91.99,2052.41,Two year,Mailed check,No,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No,No,No,No phone service,239,2,4,Yes
110,40,Male,9,21.75,388.35,Month-to-month,Electronic check,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,Yes,No,Yes,No phone service,339,7,5,No
111,77,Male,67,73.1,3929.61,Month-to-month,Electronic check,Yes,DSL,Yes,No internet service,No,No internet service,No,No,Yes,Yes,No,275,3,2,No
112,74,Male,25,97.07,1464.5,Month-to-month,Credit card,No,Fiber optic,Yes,Yes,Yes,No,No internet service,No,No,Yes,No,295,6,4,No
113,79,Male,42,64.81,2192.2,Month-to-month,Bank transfer,No,No,No,Yes,No,No internet service,No,No,No,No,Yes,105,9,1,No
114,57,Female,9,94.95,3442.95,One year,Bank transfer,Yes,No,Yes,No,No,No,No,Yes,No,No,No phone service,104,2,1,No
115,38,Female,40,24.18,1695.66,Two year,Credit card,No,DSL,Yes,Yes,No internet service,Yes,Yes,No,Yes,Yes,No phone service,325,9,2,No
116,33,Female,25,53.5,330.1,One year,Credit card,Yes,DSL,No internet service,No internet service,Yes,Yes,Yes,No,No,Yes,No phone service,355,2,4,No
117,62,Male,5,40.81,1900.91,Two year,Electronic check,No,DSL,Yes,No,Yes,No internet service,No,Yes,Yes,Yes,Yes,458,1,2,No
118,35,Female,11,78.47,4725.02,Month-to-month,Mailed check,No,No,No,Yes,No,Yes,No internet service,No,Yes,Yes,No,389,5,5,Yes
119,64,Male,59,98.5,3226.59,Month-to-month,Bank transfer,No,DSL,No internet service,Yes,No,Yes,No internet service,Yes,Yes,Yes,No phone service,202,5,1,No
120,70,Female,38,40.52,3373.82,One year,Mailed check,Yes,Fiber optic,No,No,No internet service,No internet service,Yes,Yes,Yes,No,No,102,0,3,No
121,41,Female,5,72.33,3179.8,Month-to-month,Mailed check,Yes,DSL,No,No,No internet service,Yes,No,No,No,No,Yes,447,6,1,Yes
122,43,Female,48,35.85,1035.01,One year,Credit card,No,Fiber optic,No,Yes,No internet service,No internet service,Yes,Yes,Yes,No,No,493,3,4,No
123,42,Male,18,65.23,2120.75,Month-to-month,Mailed check,Yes,DSL,No,No internet service,No internet service,No internet service,No,No,Yes,No,No phone service,160,2,2,Yes
124,77,Female,70,57.11,3767.15,Month-to-month,Electronic check,No,Fiber optic,No internet service,No,No internet service,Yes,No,No,No,Yes,No,476,7,1,Yes
125,77,Female,37,97.76,551.8,Two year,Credit card,No,DSL,Yes,No internet service,No internet service,Yes,Yes,No,Yes,Yes,No,495,1,3,No
126,77,Male,60,68.68,1425.37,Month-to-month,Mailed check,Yes,Fiber optic,No,Yes,No,Yes,No internet service,No,Yes,No,Yes,253,8,3,No
127,62,Female,48,47.96,1417.78,Two year,Credit card,Yes,DSL,No internet service,No internet service,No internet service,Yes,Yes,Yes,Yes,No,Yes,161,7,2,No
128,58,Male,28,29.13,2188.49,Two year,Electronic check,Yes,Fiber optic,No,Yes,No,Yes,No,No,Yes,Yes,Yes,374,7,2,No
129,46,Female,69,32.1,4902.83,One year,Electronic check,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,496,2,1,No
130,32,Male,40,38.03,384.14,One year,Mailed check,No,DSL,No internet service,Yes,Yes,Yes,No internet service,No,Yes,Yes,No,307,3,4,No
131,62,Male,45,40.08,2617.57,One year,Credit card,Yes,No,No internet service,Yes,No,No,No internet service,Yes,No,Yes,No,487,1,5,No
132,18,Female,62,88.05,937.86,Two year,Mailed check,Yes,Fiber optic,Yes,No internet service,No,No internet service,No,Yes,No,Yes,Yes,65,1,3,No
133,42,Male,58,64.9,4854.85,Month-to-month,Mailed check,No,DSL,No internet service,Yes,No internet service,Yes,Yes,No,No,No,Yes,488,3,2,No
134,24,Male,67,61.87,610.85,Month-to-month,Credit card,No,Fiber optic,Yes,Yes,No,Yes,No internet service,Yes,No,No,No phone service,399,5,5,No
135,26,Male,56,29.18,2047.82,One year,Mailed check,No,DSL,No internet service,No internet service,No internet service,Yes,Yes,Yes,Yes,No,No phone service,476,4,5,No
136,41,Male,40,88.81,3702.53,Month-to-month,Electronic check,No,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,No,Yes,No,Yes,494,0,5,No
137,18,Male,40,77.83,3537.54,Month-to-month,Credit card,Yes,Fiber optic,Yes,No internet service,No internet service,No,No,No,Yes,No,No,215,9,4,No
138,61,Male,33,25.41,2142.51,Month-to-month,Credit card,Yes,DSL,Yes,No internet service,Yes,No,No,No,No,Yes,Yes,350,0,2,No
139,25,Female,6,76.63,1765.29,One year,Credit card,No,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,No,No,No,No,431,5,3,No
140,41,Male,19,63.48,2018.18,Two year,Credit card,No,No,No internet service,Yes,No,Yes,No,No,Yes,Yes,No,484,2,2,No
141,28,Male,40,26.54,1358.17,Month-to-month,Mailed check,Yes,No,Yes,Yes,No internet service,Yes,No internet service,Yes,Yes,Yes,No phone service,475,2,1,No
142,68,Female,59,56.66,1066.4,Two year,Mailed check,Yes,Fiber optic,Yes,Yes,No internet service,Yes,No,No,No,Yes,Yes,329,6,3,No
143,34,Female,59,58.78,2441.05,One year,Electronic check,Yes,No,No internet service,No,No internet service,No internet service,No internet service,No,No,No,Yes,420,0,2,No
144,25,Female,48,33.26,1379.24,Two year,Bank transfer,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No internet service,No,No,No,No,207,0,3,No
145,52,Female,41,95.66,1472.94,One year,Bank transfer,Yes,DSL,No internet service,No,No,No internet service,No,No,No,No,Yes,470,9,1,No
146,52,Female,13,88.0,3300.94,One year,Electronic check,No,No,Yes,Yes,Yes,Yes,No internet service,No,Yes,No,No phone service,298,2,3,No
147,50,Female,45,73.52,4844.26,Month-to-month,Bank transfer,No,Fiber optic,No internet service,No internet service,No,No,No internet service,Yes,No,No,No phone service,428,7,5,Yes
148,76,Female,53,56.98,3038.0,Two year,Electronic check,No,Fiber optic,No,Yes,Yes,No,Yes,No,No,No,Yes,230,0,4,No
149,22,Male,42,52.94,431.05,Month-to-month,Mailed check,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,240,9,1,No
150,59,Male,63,72.08,424.14,Two year,Credit card,Yes,No,No internet service,No,Yes,Yes,Yes,No,Yes,No,No phone service,188,3,3,Yes
151,56,Female,27,63.63,4759.54,Two year,Credit card,No,No,Yes,Yes,No internet service,No internet service,No,No,Yes,Yes,Yes,127,8,1,No
152,75,Male,38,24.98,1521.59,Month-to-month,Mailed check,Yes,Fiber optic,No,No internet service,Yes,Yes,Yes,No,No,No,No,456,3,5,No
153,58,Male,60,61.0,505.73,Month-to-month,Credit card,Yes,DSL,Yes,Yes,Yes,Yes,No internet service,Yes,No,Yes,Yes,422,9,4,No
154,45,Male,7,84.51,3015.27,One year,Credit card,Yes,Fiber optic,No internet service,Yes,No internet service,Yes,No,No,No,Yes,No,385,7,1,No
155,24,Female,5,56.74,3137.06,Month-to-month,Bank transfer,Yes,Fiber optic,No,Yes,No internet service,No,No,No,No,Yes,Yes,99,6,5,No
156,26,Female,45,24.16,3260.1,Two year,Mailed check,Yes,DSL,No,No internet service,No,No internet service,No,No,Yes,Yes,Yes,134,2,5,No
157,25,Male,58,82.9,1373.64,Month-to-month,Bank transfer,Yes,Fiber optic,No internet service,No,No,No,No,No,Yes,No,No phone service,232,6,5,Yes
158,29,Female,31,36.11,124.8,Month-to-month,Bank transfer,Yes,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,No,No,No,No,232,6,3,No
159,51,Male,23,40.69,4826.83,Two year,Credit card,No,DSL,No internet service,No,Yes,No,No internet service,No,No,Yes,No phone service,53,9,2,No
160,50,Male,42,33.18,1291.92,One year,Credit card,Yes,DSL,Yes,No,No,Yes,Yes,No,No,Yes,Yes,487,2,1,No
161,65,Male,10,46.42,3396.33,Two year,Mailed check,No,DSL,Yes,No,Yes,No,No,Yes,Yes,Yes,No phone service,366,1,2,No
162,72,Male,32,80.54,3547.82,Month-to-month,Credit card,No,No,Yes,No internet service,Yes,No,Yes,No,No,No,Yes,160,8,5,No
163,40,Female,53,61.55,3069.54,One year,Credit card,Yes,DSL,No internet service,Yes,No,No internet service,No internet service,No,Yes,Yes,Yes,383,0,2,No
164,79,Female,30,36.39,1598.89,One year,Mailed check,Yes,DSL,No internet service,Yes,No,No internet service,No,No,No,Yes,Yes,388,6,5,No
165,41,Female,39,90.23,1391.93,One year,Credit card,No,Fiber optic,Yes,Yes,Yes,No,No internet service,Yes,Yes,No,No,300,3,5,Yes
166,54,Male,31,90.37,3008.46,One year,Bank transfer,No,DSL,No,Yes,No internet service,No internet service,Yes,Yes,Yes,Yes,No,182,1,4,No
167,52,Female,2,89.65,4337.17,One year,Mailed check,No,DSL,Yes,Yes,No internet service,No internet service,No internet service,No,No,No,No,149,1,4,No
168,61,Male,12,39.1,4736.33,Month-to-month,Credit card,No,DSL,No,No internet service,Yes,No internet service,No,Yes,Yes,No,No phone service,451,7,2,No
169,57,Female,39,56.1,574.23,Month-to-month,Electronic check,Yes,Fiber optic,No internet service,No internet service,No,No internet service,No,No,Yes,Yes,Yes,221,6,1,No
170,39,Male,66,98.8,816.4,One year,Mailed check,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No,No,Yes,No phone service,336,6,2,No
171,44,Male,13,81.76,4726.44,Month-to-month,Mailed check,Yes,DSL,Yes,No internet service,Yes,No,No,Yes,Yes,Yes,No phone service,168,4,1,No
172,52,Male,46,22.17,3695.85,One year,Electronic check,No,Fiber optic,Yes,No internet service,No,No internet service,No internet service,No,No,No,Yes,399,9,2,No
173,18,Female,27,25.22,4420.82,Month-to-month,Credit card,Yes,No,No internet service,No internet service,No internet service,Yes,No internet service,Yes,Yes,No,No phone service,454,7,3,No
174,52,Female,17,57.11,1053.03,One year,Credit card,No,DSL,Yes,No internet service,Yes,No,No internet service,Yes,Yes,No,Yes,224,1,3,No
175,54,Female,60,92.74,2958.55,One year,Mailed check,Yes,DSL,No internet service,Yes,No internet service,No,No internet service,Yes,Yes,Yes,Yes,79,1,1,No
176,64,Female,64,63.1,3520.64,Month-to-month,Mailed check,No,DSL,No internet service,No,No internet service,No,Yes,No,Yes,Yes,Yes,104,4,4,Yes
177,31,Male,35,59.83,3416.55,Month-to-month,Credit card,Yes,Fiber optic,No,No internet service,No,No internet service,No internet service,No,No,Yes,Yes,410,0,1,No
178,20,Female,70,28.44,2070.35,Month-to-month,Credit card,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,No,Yes,No phone service,245,5,2,No
179,18,Female,30,72.54,126.2,One year,Bank transfer,No,DSL,No internet service,No internet service,Yes,No internet service,No internet service,No,No,Yes,No phone service,90,3,5,No
180,22,Male,71,85.77,2935.48,Two year,Mailed check,No,Fiber optic,Yes,No internet service,No internet service,No,Yes,No,Yes,Yes,No phone service,222,5,3,No
